"","timestamp","water_depth","flowrate","flag"
"1",2023-05-31 01:51:00,1.253,0.355,"NA"
"2",2023-05-31 01:54:00,1.254,0.2837,"NA"
"3",2023-05-31 01:57:00,1.254,0.2837,"NA"
"4",2023-05-31 02:00:00,1.255,0.2663,"NA"
"5",2023-05-31 02:03:00,1.255,0.2663,"NA"
"6",2023-05-31 02:06:00,1.253,0.1182,"NA"
"7",2023-05-31 02:09:00,1.253,0.1182,"NA"
"8",2023-05-31 02:12:00,1.251,0.0556,"NA"
"9",2023-05-31 02:15:00,1.251,0.0556,"NA"
"10",2023-05-31 02:18:00,1.248,-0.0625,"NA"
"11",2023-05-31 02:21:00,1.248,-0.0625,"NA"
"12",2023-05-31 02:24:00,1.244,-0.2225,"NA"
"13",2023-05-31 02:27:00,1.244,-0.2225,"NA"
"14",2023-05-31 02:30:00,1.237,-0.3021,"NA"
"15",2023-05-31 02:33:00,1.237,-0.3021,"NA"
"16",2023-05-31 02:36:00,1.232,-0.2784,"NA"
"17",2023-05-31 02:39:00,1.232,-0.2784,"NA"
"18",2023-05-31 02:42:00,1.229,-0.2608,"NA"
"19",2023-05-31 02:45:00,1.229,-0.2608,"NA"
"20",2023-05-31 02:48:00,1.226,-0.2645,"NA"
"21",2023-05-31 02:51:00,1.226,-0.2645,"NA"
"22",2023-05-31 02:54:00,1.222,-0.2527,"NA"
"23",2023-05-31 02:57:00,1.222,-0.2527,"NA"
"24",2023-05-31 03:00:00,1.219,-0.2569,"NA"
"25",2023-05-31 03:03:00,1.219,-0.2569,"NA"
"26",2023-05-31 03:06:00,1.215,-0.2595,"NA"
"27",2023-05-31 03:09:00,1.215,-0.2595,"NA"
"28",2023-05-31 03:12:00,1.211,-0.2866,"NA"
"29",2023-05-31 03:15:00,1.211,-0.2866,"NA"
"30",2023-05-31 03:18:00,1.208,-0.2542,"NA"
"31",2023-05-31 03:21:00,1.208,-0.2542,"NA"
"32",2023-05-31 03:24:00,1.207,-0.2009,"NA"
"33",2023-05-31 03:27:00,1.207,-0.2009,"NA"
"34",2023-05-31 03:30:00,1.207,-0.1541,"NA"
