"","intercept","r2","analyte","curve","run_date","slope"
"1",NA,NA,NA,NA,NA,NA
"2",NA,NA,NA,NA,NA,NA
"3",NA,NA,NA,NA,NA,NA
"4",NA,NA,NA,NA,NA,NA
"5",-20.1752221993459,0.999427693372954,"C","IC (mg/L)",2025-05-26,16.8018364165018
"6",-7.01892099002647,0.996610115625803,"C","IC (mg/L)",2025-05-28,16.4813976576082
"7",-15.9690110132211,0.999436469636194,"C","IC (mg/L)",2025-09-22,13.5040380461141
"8",-8.05950314912889,0.991176018390753,"C","IC (mg/L)",2026-02-02,4.21130112811857
"9",-25.5101897957649,0.998975976277865,"C","IC (mg/L)",2026-04-30,21.2720800115431
"10",31.7703409874192,0.996555304290502,"C","IC (mg/L)",2026-05-02,17.4430993243899
