Inj.	Injection Name	Type 	Ret.Time	Amount	Rel.Area 	Area	Height
No.	Selected Peak:		min	µg/mL	%	µS*min	µS
			CD	CD	CD	CD	CD
			IC-Cl	IC-Cl	IC-Cl	IC-Cl	IC-Cl
1	Lab Blank	Unknown	n.a.	n.a.	n.a.	n.a.	n.a.
2	Lab Blank	Unknown	n.a.	n.a.	n.a.	n.a.	n.a.
3	Lab Blank	Unknown	n.a.	n.a.	n.a.	n.a.	n.a.
4	Lab Blank	Unknown	n.a.	n.a.	n.a.	n.a.	n.a.
5	Standard 1	Calibration Standard	4.610 	5.0360 	91.81 	9.6101 	38.48 
6	Standard 2	Calibration Standard	4.563 	10.2141 	91.67 	19.4914 	78.23 
7	Standard 3	Calibration Standard	4.600 	20.2669 	91.49 	38.6750 	154.08 
8	Standard 4	Calibration Standard	4.600 	101.0997 	91.48 	192.9270 	787.04 
9	Standard 5	Calibration Standard	4.607 	199.4119 	91.63 	380.5347 	1596.54 
10	Lab Blank	Unknown	4.550 	0.0132 	68.03 	0.0252 	0.15 
11	Lab Blank	Unknown	4.600 	0.0117 	45.85 	0.0222 	0.08 
12	1_FTS_GW1_1245_20240208	Unknown	4.607 	3611.3700 	82.99 	68.9152 	268.62 
13	2_FTS_GW2_1345_20240208	Unknown	4.627 	4992.2626 	84.40 	95.2666 	371.49 
14	3_FTS_GW3_1445_20240208	Unknown	4.590 	2986.0047 	78.45 	56.9815 	220.38 
15	4_FTS_GW4_1545_20240208	Unknown	4.630 	4530.4808 	82.45 	86.4545 	335.65 
16	5_FTS_GW5_1645_20240208	Unknown	4.633 	2719.5107 	79.06 	51.8960 	200.89 
17	6_FTS_TMP_FW1_1215_20240209	Unknown	4.620 	0.0498 	0.01 	0.0019 	0.03 
18	7_FTS_TMP_FW2_1145_20240209	Unknown	4.620 	0.3592 	0.08 	0.0137 	0.16 
19	8_FTS_0900_20240208	Unknown	4.660 	1414.1117 	46.67 	26.9853 	167.69 
20	9_FTS_1000_20240208	Unknown	4.653 	1422.0478 	46.56 	27.1367 	169.34 
21	10_FTS_1100_20240208	Unknown	4.650 	700.7631 	39.01 	13.3726 	86.62 
22	10_FTS_1100_20240208_dup	Unknown	4.650 	690.2903 	38.94 	13.1727 	85.31 
23	11_FTS_1200_20240208	Unknown	4.610 	1573.4533 	51.31 	30.0260 	171.28 
24	11_FTS_1200_20240208_spk	Spiked	4.653 	1418.2942 	44.64 	27.0651 	168.90 
