Inj.	Injection Name	Type 	Ret.Time	Amount	Rel.Area 	Area	Height
No.	Selected Peak:		min	µg/mL	%	µS*min	µS
			CD	CD	CD	CD	CD
			IC-SO4	IC-SO4	IC-SO4	IC-SO4	IC-SO4
1	Lab Blank	Unknown	5.763 	0.0085 	100.00 	0.0132 	0.04 
2	Lab Blank	Unknown	5.807 	0.0070 	47.78 	0.0108 	0.05 
3	Lab Blank	Unknown	n.a.	n.a.	n.a.	n.a.	n.a.
4	Lab Blank	Unknown	n.a.	n.a.	n.a.	n.a.	n.a.
5	Standard 1	Calibration Standard	5.787 	0.4677 	6.95 	0.7278 	2.21 
6	Standard 2	Calibration Standard	5.803 	0.9765 	7.15 	1.5196 	4.95 
7	Standard 3	Calibration Standard	5.763 	1.9981 	7.36 	3.1094 	10.08 
8	Standard 4	Calibration Standard	5.733 	10.0871 	7.44 	15.6979 	46.70 
9	Standard 5	Calibration Standard	5.710 	19.9586 	7.48 	31.0602 	85.64 
10	Lab Blank	Unknown	n.a.	n.a.	n.a.	n.a.	n.a.
11	Lab Blank	Unknown	n.a.	n.a.	n.a.	n.a.	n.a.
12	1_FTS_GW1_1245_20240208	Unknown	5.763 	335.9606 	6.30 	5.2283 	16.35 
13	2_FTS_GW2_1345_20240208	Unknown	5.780 	527.3077 	7.27 	8.2061 	25.26 
14	3_FTS_GW3_1445_20240208	Unknown	5.820 	397.7196 	8.52 	6.1894 	19.40 
15	4_FTS_GW4_1545_20240208	Unknown	5.780 	584.7187 	8.68 	9.0996 	27.92 
16	5_FTS_GW5_1645_20240208	Unknown	5.533 	0.6018 	0.01 	0.0094 	0.48 
17	6_FTS_TMP_FW1_1215_20240209	Unknown	5.807 	23.7266 	4.58 	0.7385 	2.15 
18	7_FTS_TMP_FW2_1145_20240209	Unknown	5.887 	23.4826 	4.48 	0.7309 	2.19 
19	8_FTS_0900_20240208	Unknown	5.837 	305.5881 	8.22 	4.7557 	15.48 
