"","Sample Number","Project","Time-Well","Date","ID","ID1","Sample_ID","SO4_ppm","SO4_Area","Cl_ppm","Cl_Area","SO4_mM","Cl_mM","salinity"
"44","49","FTS","0800","20240215","49","FTS","49_FTS_0800_20240215",264.9264,4.1229,2021.226,38.5708,8.26345601996257,57.0162482369535,3.652381382
"45","5","FTS","GW5","1645","20240208","5","5_FTS_GW5_1645_20240208",0.6018,0.0094,2719.5107,51.896,0.0187710542732377,76.7139830747532,4.9141818349
"46","50","FTS","0900","20240215","50","FTS","50_FTS_0900_20240215",249.0243,3.8754,1888.0516,36.0294,7.76744541484716,53.2595655853315,3.4117352412
"47","51","FTS","1000","20240215","51","FTS","51_FTS_1000_20240215",189.525,2.9494,1366.7799,26.0821,5.91157205240175,38.5551452750353,2.4697972793
"48","52","FTS","1100","20240215","52","FTS","52_FTS_1100_20240215",298.255,4.6415,2251.7022,42.9689,9.30302557704304,63.5176925246827,4.0688518754
"49","53","FTS","1200","20240215","53","FTS","53_FTS_1200_20240215",311.4669,4.8471,2348.9104,44.8239,9.71512476606363,66.2598138222849,4.2445070928
"50","54","FTS","1300","20240215","54","FTS","54_FTS_1300_20240215",285.7232,4.4465,2194.4627,41.8766,8.91213973799127,61.9030380818054,3.9654200989
"51","55","FTS","1400","20240215","55","FTS","55_FTS_1400_20240215",291.0752,4.5298,2265.0037,43.2227,9.07907673112913,63.8929111424542,4.0928876859
"52","56","FTS","1500","20240215","56","FTS","56_FTS_1500_20240215",286.0542,4.4517,2237.1639,42.6915,8.9224641297567,63.1075853314527,4.0425811673
"53","57","FTS","1600","20240215","57","FTS","57_FTS_1600_20240215",281.3007,4.3777,2196.1244,41.9083,8.77419525888958,61.9499125528914,3.9684227908
"54","58","FTS","1700","20240215","58","FTS","58_FTS_1700_20240215",343.6677,5.3483,2598.8195,49.5929,10.7195165315034,73.3094358251058,4.6960928365
"55","59","FTS","1800","20240215","59","FTS","59_FTS_1800_20240215",447.2781,6.9607,3274.4919,62.4866,13.9512819713038,92.3693060648801,5.9170328633
"56","6","FTS","TMP","FW1","1215","20240209","6_FTS_TMP_FW1_1215_20240209",23.7266,0.7385,0.0498,0.0019,0.740068621334997,0.00140479548660085,0.0001159886
"57","60","FTS","1900","20240215","60","FTS","60_FTS_1900_20240215",454.1605,7.0678,3350.5279,63.9376,14.1659544603868,94.5141861777151,6.0544299153
"58","61","TEMPEST","Aquifer","A","20240124","61","61_TEMPEST_Aquifer_A_20240124",12.5365,0.3902,0.0092,4e-04,0.391032439176544,0.000259520451339915,4.26244e-05
"59","62","TEMPEST","Aquifer","B","20240124","62","62_TEMPEST_Aquifer_B_20240124",15.5534,0.4841,0,0,0.485134123518403,0,2.6e-05
"60","63","TEMPEST","Aquifer","C","20240124","63","63_TEMPEST_Aquifer_C_20240124",11.4268,0.3557,0,0,0.356419213973799,0,2.6e-05
"61","7","FTS","TMP","FW2","1145","20240209","7_FTS_TMP_FW2_1145_20240209",23.4826,0.7309,0.3592,0.0137,0.732457891453525,0.010132581100141,0.0006750744
"62","8","FTS","0900","20240208","8","FTS","8_FTS_0900_20240208",305.5881,4.7557,2391.5429,45.6375,9.5317560823456,67.4624231311707,4.3215440203
"63","9","FTS","1000","20240208","9","FTS","9_FTS_1000_20240208",301.6807,4.6948,2408.2261,45.9558,9.40987835308796,67.9330352609309,4.3516905627
